Item Description,Quantity,Rate/Unit Price,Amount
Pieces of Strong decoder,5,1000,5000
Shap TV,5,1000,5000
Sanyo TV,5,1000,5000
Samsung TV,5,1500,7500
L.G,5,1200,6000
Poly star TV,2,2000,4000
Panasonic,2,2000,4000
Star Time decoder,5,2000,10000
L.G Home Theater,5,2000,10000
Sony TV,5,1500,7500
Panasonic TV,5,2000,10000
Star Time decoder,5,1500,7500
pieces of Hanga,10,4500,45000
testa,1,7500,7500
Mj 33,2,12500,25000
MJ 30,2,10500,21000
mj 26,2,8500,17000
K9 mat,2,7500,15000
Industrial mat,2,2500,5000
1007 thermostat,10,1000,10000
Industrial blade,5,2500,12500
Industrial disk,5,1100,5500
Industrial rubber,5,1000,5000
Rechargeable coil,2,4750,9500
washing machine single,4,2500,10000
double timer,3,3500,10500
3.5uf capacitor,10,350,3500
2.5uf capacitor,10,250,2500
2uf capacitor,10,250,2500
4uf capacitor,10,400,4000
Jug element,10,1500,15000
fan rotation,10,500,5000
Rechargeable fan g/box,10,3000,30500
BB fan oil,2,6000,12000
Power circle timer,12,1000,12000
Kettle element,5,1100,5500
Crown coil,2,6300,12600
Big fan coil,2,12000,24000
Tractor,2,7500,15000
kettle thermostat,10,1000,10000
phillip rubber L/R,20,250,5000
small rubber L/R,20,250,5000
plate rubber L/R,20,250,5000
BB rotation,10,700,7000
BB neck,5,1500,7500
wall fan neck,5,1500,7500
new BB neck,5,1500,7500
Pes of Std regulators,2,3500,7000
Pes of Camping stove,2,2900,5800
Pes of Std h/p reg.,2,3700,7400
Camping stove rack,2,3000,6000
Pes of burner & control,2,1950,3850
Author blow torch,1,19000,19000
Std regulators E80,2,4000,8000
Pes of burner controling,2,1500,3000
feet of 10mm NY Wire,50,5700,285000
feet of 4mm NY Wire,25,700,17000
feet of 25mm pipe,5,600,3000
49FT,5,3500,17500
49FX,5,3500,17500
39LT,5,3500,17500
49GX,5,3500,17500
39AX,5,3500,17500
39LX,5,3500,17500
491X,5,3500,17500
A16,5,3500,17500
Honor 6 HB4242B4EBW,5,3500,17500
S6 edge G9250,5,3500,17500
20H1,5,2200,11000
20Y5,5,2200,11000
15FT,5,2000,10000
38CT,5,2500,12500
40DT,5,2200,11000
25B1,5,2300,11500
24et,5,2200,11000
40T,5,2000,10000
38BT,5,2500,12500
11D1,5,2000,10000
25BT,5,2000,10000
34ET,5,2300,11500
19CT,5,2000,10000
25BT,5,2000,10000
34ET,5,2300,11500
19CT,5,2000,10000
5Cmich,5,1300,6500
5C,5,1000,5000
5C,5,1000,5000
5C bank,5,1400,7000
29c1,5,2200,11000
21B1,5,2200,11000
sh A1004 Type C,5,1400,7000
SHA 1005 B/3,5,1300,6500
i16 pro max charger,5,3500,17500
Jb 60 headset,2,9300,18600
B5 handsfree,10,800,8000
Jbl 7700 headset,2,8000,16000
pg headset,2,3500,7000
1/2 headset JBC,2,3500,7000
HD80 Iphone H/L,5,1700,8500
Car headset,2,400,800
4 in 1 Cable,20,550,11000
Million option 13 pro max chr,5,3500,17500
PD charger 45W,5,2600,13000
RK 60 headset,2,9300,18600
Intelligent Charger,5,1900,9500
B/3 cap,10,450,4500
type C cap,10,500,5000
Iphone cup,10,500,5000
Star 200/5L,4,10800,43200
Oriamo 20mH,3,10800,32400
New age 22500mh,2,12500,25000
LINCO,2,10500,21000
10mmH Lead,2,8500,17000
Original battery,10,1500,15000
7.4 battery,5,2000,10000
11.1v battery,3,3000,9000
3.7v battery,10,500,5000
15V power,10,2800,28000
Fan panel 12V,4,4500,18000
Fan panel 6V,4,4000,16000
6V power,4,2000,8000
Soldering iron box,5,2900,14500
yellow iron box,5,1400,7000
head big,1,23000,23000
paper small,10,500,5000
3.7v with wave,10,800,8000
small motor,5,2000,10000
powerle panel,5,1300,6500
M-P USB,5,2000,10000
small cutter,2,150,300
profess set screw,2,3000,6000
big pen,5,2800,14000
small pen,10,350,3500
soldering,5,3500,18500
6 IN 1 Set,2,1800,3600
small 3.7v battery,10,480,4800
2032,40,300,12000
2016 batteries,20,300,6000
1632 battery,20,400,8000
1.5 battery,20,400,8000
4gs - 3in1,2,3760,7520
8gs - 3in1,2,4040,8080
16gs - 3in1,2,4110,8220
32gs - 3in1,2,5020,10040
64gs - 3in1,2,5970,11940
128gs - 3in1,2,11100,22200
2gb-memory card,3,2100,6300
4gb,3,2260,6780
8gb,3,2340,7020
16gb,3,2790,8370
32gb,3,3430,10290
64gb,3,4570,13710
128gb,3,10100,30300
2gb - memory card,2,2050,4100
4gb,2,2200,4400
8gb,2,2250,4500
16gb - Oraimo,2,2300,4600
32gb,2,3400,6800
64gb,2,4500,9000
128gb,2,9900,19800
DIGITREX Deep freezer,1,130000,130000
male & female,10,1500,15000
radio wire,20,1200,24000
double iron,2,5000,10000
4 ways extension,5,5500,27500
6 ways extension,5,7000,35000
extension with USB,3,7000,21000
water heater switch,5,1000,5000
double with patress,5,2500,12500
double without patress,5,2300,11500
plug 13A,10,650,6500
15A plug,10,1700,17000
smallest multi,10,500,5000
2 ways extension,6,3500,21000
multi with switch,6,1500,9000
multi 15A,5,2500,12500
plug with switch,10,800,8000
single socket,10,850,8500
